Columns,QuestionText
Knowledge_2,"Knowledge silos prevent me from getting ideas across the organization (i.e., one individual or team has information that isn't shared with others)"
Knowledge_3,I can find up-to-date information within my organization to help me do my job.
Knowledge_4,I am able to quickly find answers to my questions with existing tools and resources.
Knowledge_5,I know which system or resource to use to find information and answers to questions I have.
Knowledge_6,I often find myself answering questions that have already answered before.
Knowledge_7,Waiting on answers to questions often causes interruptions and disrupts my workflow.
Knowledge_8,I feel like I have the tools and/or resources to quickly understand and work on any area of my company's code/system/platform.
Frequency_1,Needing help from people outside of your immediate team?
Frequency_2,Interacting with people outside of your immediate team?
Frequency_3,Encountering knowledge silos (where one individual or team has information that's not shared or distributed with other individuals or teams) at work?
TimeSearching,"On an average day, how much time do you typically spend searching for answers or solutions to problems you encounter at work? (This includes time spent searching on your own, asking a colleague, and waiting for a response)."
TimeAnswering,"On an average day, how much time do you typically spend answering questions you get asked at work?"
ProfessionalTech,Since how many years you have been into professional tech?
Industry,What industry is the company you work for in?
SurveyLength,How do you feel about the length of the survey this year?
SurveyEase,How easy or difficult was this survey to complete?
ConvertedCompYearly,"What is your converted current total annual compensation (salary, bonuses, and perks, before taxes and deductions)? Please enter a whole number in the box below, without any punctuation.  If you are paid hourly, please estimate an equivalent yearly salary. If you prefer not to answer, please leave the box empty."
